card_set,test,family,features_used,feature_names,cards,nn_same_coin_accuracy,nn_chance_1pct,nn_beats_chance,pair_auc,auc_chance_1pct,auc_beats_chance
raw-observation,T1+T2,price-level,1,price:log_median_close,306,0.637255,0.179739,YES,0.909321,0.512881,YES
raw-observation,T1+T2,volatility-frozen,3,volatility:max_abs_chg volatility:mean_abs_chg volatility:sd_chg,306,0.160131,0.176471,no,0.542629,0.513458,YES
raw-observation,T1+T2,volume-level,2,p7:log_avg_vol volume:log_median_vol,306,0.366013,0.176471,YES,0.727393,0.512781,YES
raw-observation,T1+T2,trades-level,2,p7:log_avg_trades trades:log_median_trades,306,0.277778,0.173203,YES,0.71236,0.51217,YES
raw-observation,T1+T2,openint-level,1,openint:log_median_oi,306,0.751634,0.179739,YES,0.925362,0.513152,YES
raw-observation,T1+T2,depth-level,2,depth:log_median_depth_ask depth:log_median_depth_bid,306,0.441176,0.179739,YES,0.838113,0.513689,YES
raw-observation,T1+T2,ratio-level,3,ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls,306,0.464052,0.179739,YES,0.649369,0.513486,YES
raw-observation,T1+T2,taker-buy,2,takerbuy:mean takerbuy:sd,306,0.186275,0.173203,YES,0.571071,0.511815,YES
raw-observation,T1+T2,funding-line,5,funding:interval_hours funding:max_abs_rate funding:mean_rate funding:payment_count funding:sd_rate,306,0.428105,0.173203,YES,0.719539,0.513795,YES
raw-observation,T1+T2,wikipedia-presence,1,wikipedia:present,306,0.176471,0.150327,YES,0.629541,0.510776,YES
raw-observation,T1+T2,p7-shape,2,p7:price_pct p7:range_pct,306,0.150327,0.183007,no,0.5239,0.514334,YES
raw-observation,T1+T2,btc-eth,4,btceth:mean_btc btceth:mean_eth btceth:sd_btc btceth:sd_eth,306,0.078431,0.173203,no,0.488021,0.514125,no
raw-observation,T1+T2,shape-scale-free,13,shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol,306,0.189542,0.176471,YES,0.566219,0.512203,YES
raw-observation,T1+T2,ALL,41,btceth:mean_btc btceth:mean_eth btceth:sd_btc btceth:sd_eth depth:log_median_depth_ask depth:log_median_depth_bid funding:interval_hours funding:max_abs_rate funding:mean_rate funding:payment_count funding:sd_rate openint:log_median_oi p7:log_avg_trades p7:log_avg_vol p7:price_pct p7:range_pct price:log_median_close ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd trades:log_median_trades volatility:max_abs_chg volatility:mean_abs_chg volatility:sd_chg volume:log_median_vol wikipedia:present,306,0.637255,0.173203,YES,0.728644,0.513204,YES
raw-observation,T1+T2,ALL-except-frozen-volatility,38,btceth:mean_btc btceth:mean_eth btceth:sd_btc btceth:sd_eth depth:log_median_depth_ask depth:log_median_depth_bid funding:interval_hours funding:max_abs_rate funding:mean_rate funding:payment_count funding:sd_rate openint:log_median_oi p7:log_avg_trades p7:log_avg_vol p7:price_pct p7:range_pct price:log_median_close ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd trades:log_median_trades volume:log_median_vol wikipedia:present,306,0.637255,0.169935,YES,0.732029,0.512654,YES
raw-observation,T1+T2,ALL-removable,31,btceth:mean_btc btceth:mean_eth btceth:sd_btc btceth:sd_eth depth:log_median_depth_ask depth:log_median_depth_bid openint:log_median_oi p7:log_avg_trades p7:log_avg_vol price:log_median_close ratio:log_median_ls_acct ratio:log_median_taker_ls ratio:log_median_top_ls shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd trades:log_median_trades volume:log_median_vol wikipedia:present,306,0.601307,0.173203,YES,0.716461,0.513732,YES
