card_set,test,family,features_used,feature_names,cards,nn_same_coin_accuracy,nn_chance_1pct,nn_beats_chance,pair_auc,auc_chance_1pct,auc_beats_chance
blinded-ratio,T1+T2,price-level,1,price:log_median_close,306,0.153595,0.179739,no,0.503476,0.512978,no
blinded-ratio,T1+T2,volatility-frozen,3,volatility:max_abs_chg volatility:mean_abs_chg volatility:sd_chg,306,0.160131,0.176471,no,0.542629,0.513267,YES
blinded-ratio,T1+T2,volume-level,1,p7:log_avg_vol,306,0.186275,0.179739,YES,0.528896,0.512822,YES
blinded-ratio,T1+T2,trades-level,1,p7:log_avg_trades,306,0.212418,0.176471,YES,0.52623,0.513451,YES
blinded-ratio,T1+T2,openint-level,1,openint:log_median_oi,306,0.127451,0.133987,no,0.505179,0.503379,YES
blinded-ratio,T1+T2,depth-level,0,,306,,,no features left after blinding,,,no features left after blinding
blinded-ratio,T1+T2,ratio-level,0,,306,,,no features left after blinding,,,no features left after blinding
blinded-ratio,T1+T2,taker-buy,2,takerbuy:mean takerbuy:sd,306,0.166667,0.179739,no,0.563111,0.513622,YES
blinded-ratio,T1+T2,funding-line,4,funding:all_equal funding:count_matches funding:interval_changed funding:rel_spread,306,0.153595,0.173203,no,0.592679,0.5112,YES
blinded-ratio,T1+T2,wikipedia-presence,0,,306,,,no features left after blinding,,,no features left after blinding
blinded-ratio,T1+T2,p7-shape,2,p7:price_pct p7:range_pct,306,0.150327,0.179739,no,0.5239,0.513163,YES
blinded-ratio,T1+T2,btc-eth,0,,306,,,no features left after blinding,,,no features left after blinding
blinded-ratio,T1+T2,shape-scale-free,13,shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol,306,0.196078,0.173203,YES,0.566272,0.514272,YES
blinded-ratio,T1+T2,ALL,28,funding:all_equal funding:count_matches funding:interval_changed funding:rel_spread openint:log_median_oi p7:log_avg_trades p7:log_avg_vol p7:price_pct p7:range_pct price:log_median_close shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd volatility:max_abs_chg volatility:mean_abs_chg volatility:sd_chg,306,0.310458,0.169935,YES,0.588218,0.513431,YES
blinded-ratio,T1+T2,ALL-except-frozen-volatility,25,funding:all_equal funding:count_matches funding:interval_changed funding:rel_spread openint:log_median_oi p7:log_avg_trades p7:log_avg_vol p7:price_pct p7:range_pct price:log_median_close shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd,306,0.294118,0.173203,YES,0.586293,0.513674,YES
blinded-ratio,T1+T2,ALL-removable,19,openint:log_median_oi p7:log_avg_trades p7:log_avg_vol price:log_median_close shape:acf1_log_depth_ask shape:acf1_log_ls_acct shape:acf1_log_taker_ls shape:acf1_log_top_ls shape:acf1_log_trades shape:acf1_log_vol shape:sd_log_depth_ask shape:sd_log_depth_bid shape:sd_log_ls_acct shape:sd_log_taker_ls shape:sd_log_top_ls shape:sd_log_trades shape:sd_log_vol takerbuy:mean takerbuy:sd,306,0.212418,0.169935,YES,0.572619,0.513541,YES
