id,source_card,coin,kind,start_hour_utc
B001,C175,NEWTUSDT,large,2025-09-08T07:00Z
B002,C302,ZROUSDT,calm,2026-07-11T04:00Z
B003,C010,AVGOUSDT,calm,2026-07-16T00:00Z
B004,C271,ZROUSDT,calm,2025-10-04T16:00Z
B005,C283,ZROUSDT,large,2026-02-10T14:00Z
B006,C192,NEWTUSDT,calm,2026-01-09T11:00Z
B007,C105,FHEUSDT,large,2025-12-09T22:00Z
B008,C123,FHEUSDT,large,2026-04-17T06:00Z
B009,C214,NEWTUSDT,calm,2026-08-24T08:00Z
B010,C044,BCHUSDT,large,2026-05-27T16:00Z
B011,C169,KOMAUSDT,large,2026-08-01T10:00Z
B012,C053,BCHUSDT,calm,2026-08-04T20:00Z
B013,C248,NILUSDT,calm,2026-07-07T00:00Z
B014,C039,BCHUSDT,calm,2026-04-20T03:00Z
B015,C209,NEWTUSDT,calm,2026-07-11T03:00Z
B016,C025,BCHUSDT,large,2025-11-18T20:00Z
B017,C068,FARTCOINUSDT,large,2025-12-18T01:00Z
B018,C199,NEWTUSDT,calm,2026-05-05T21:00Z
B019,C285,ZROUSDT,large,2026-02-28T09:00Z
B020,C029,BCHUSDT,large,2025-12-18T20:00Z
B021,C057,FARTCOINUSDT,calm,2025-10-06T03:00Z
B022,C153,KOMAUSDT,large,2026-04-18T05:00Z
B023,C115,FHEUSDT,large,2026-02-09T14:00Z
B024,C200,NEWTUSDT,calm,2026-05-25T21:00Z
B025,C045,BCHUSDT,large,2026-06-02T04:00Z
B026,C087,FARTCOINUSDT,calm,2026-06-08T14:00Z
B027,C249,NILUSDT,large,2026-07-26T11:00Z
B028,C046,BCHUSDT,large,2026-06-05T05:00Z
B029,C196,NEWTUSDT,large,2026-02-26T12:00Z
B030,C198,NEWTUSDT,large,2026-04-20T12:00Z
B031,C280,ZROUSDT,large,2026-01-22T17:00Z
B032,C050,BCHUSDT,calm,2026-07-28T19:00Z
B033,C109,FHEUSDT,large,2026-01-06T02:00Z
B034,C237,NILUSDT,large,2026-02-10T11:00Z
B035,C103,FHEUSDT,calm,2025-11-27T16:00Z
B036,C091,FARTCOINUSDT,calm,2026-07-19T00:00Z
B037,C015,BCHUSDT,calm,2025-09-19T08:00Z
B038,C067,FARTCOINUSDT,large,2025-12-03T21:00Z
B039,C207,NEWTUSDT,large,2026-06-24T14:00Z
B040,C014,AVGOUSDT,large,2026-08-13T19:00Z
B041,C222,NILUSDT,calm,2025-10-18T05:00Z
B042,C079,FARTCOINUSDT,calm,2026-04-19T00:00Z
B043,C149,KOMAUSDT,large,2026-04-04T13:00Z
B044,C122,FHEUSDT,calm,2026-04-12T11:00Z
B045,C205,NEWTUSDT,calm,2026-06-19T21:00Z
B046,C173,KOMAUSDT,large,2026-08-22T05:00Z
B047,C128,FHEUSDT,large,2026-05-31T06:00Z
B048,C275,ZROUSDT,calm,2025-11-17T08:00Z
B049,C279,ZROUSDT,large,2026-01-20T16:00Z
B050,C012,AVGOUSDT,calm,2026-07-24T06:00Z
B051,C165,KOMAUSDT,calm,2026-07-12T01:00Z
B052,C158,KOMAUSDT,large,2026-06-16T12:00Z
B053,C268,ZROUSDT,calm,2025-09-18T14:00Z
B054,C276,ZROUSDT,large,2025-12-01T18:00Z
B055,C213,NEWTUSDT,large,2026-08-21T04:00Z
B056,C089,FARTCOINUSDT,calm,2026-06-26T22:00Z
B057,C100,FHEUSDT,large,2025-10-17T01:00Z
B058,C181,NEWTUSDT,large,2025-10-12T14:00Z
B059,C088,FARTCOINUSDT,large,2026-06-14T18:00Z
B060,C232,NILUSDT,large,2025-12-26T01:00Z
B061,C071,FARTCOINUSDT,calm,2026-01-13T16:00Z
B062,C081,FARTCOINUSDT,calm,2026-04-28T10:00Z
B063,C017,BCHUSDT,large,2025-10-10T02:00Z
B064,C246,NILUSDT,calm,2026-05-30T05:00Z
B065,C023,BCHUSDT,calm,2025-11-07T08:00Z
B066,C052,BCHUSDT,calm,2026-07-30T09:00Z
B067,C297,ZROUSDT,calm,2026-06-09T18:00Z
B068,C099,FHEUSDT,large,2025-10-09T22:00Z
B069,C118,FHEUSDT,calm,2026-02-28T08:00Z
B070,C133,FHEUSDT,calm,2026-08-21T01:00Z
B071,C228,NILUSDT,large,2025-11-18T19:00Z
B072,C215,NILUSDT,calm,2025-09-03T10:00Z
B073,C018,BCHUSDT,large,2025-10-12T02:00Z
B074,C037,BCHUSDT,calm,2026-03-21T21:00Z
B075,C197,NEWTUSDT,calm,2026-04-10T16:00Z
B076,C265,OMNIUSDT,large,2025-09-09T19:00Z
B077,C281,ZROUSDT,large,2026-01-30T20:00Z
B078,C083,FARTCOINUSDT,calm,2026-05-09T08:00Z
B079,C163,KOMAUSDT,calm,2026-07-05T21:00Z
B080,C092,FARTCOINUSDT,calm,2026-08-05T17:00Z
B081,C258,NOKUSDT,calm,2026-06-23T19:00Z
B082,C009,AVGOUSDT,large,2026-07-08T12:00Z
B083,C240,NILUSDT,calm,2026-03-25T03:00Z
B084,C124,FHEUSDT,large,2026-05-02T01:00Z
B085,C225,NILUSDT,calm,2025-10-30T19:00Z
B086,C058,FARTCOINUSDT,large,2025-10-10T14:00Z
B087,C273,ZROUSDT,large,2025-10-12T02:00Z
B088,C035,BCHUSDT,calm,2026-03-07T23:00Z
B089,C261,NOKUSDT,large,2026-07-23T07:00Z
B090,C004,AVGOUSDT,large,2026-06-03T12:00Z
B091,C019,BCHUSDT,large,2025-10-16T09:00Z
B092,C060,FARTCOINUSDT,large,2025-10-29T21:00Z
B093,C250,NILUSDT,large,2026-08-06T19:00Z
B094,C167,KOMAUSDT,calm,2026-07-25T15:00Z
B095,C085,FARTCOINUSDT,calm,2026-05-15T01:00Z
B096,C267,ZROUSDT,calm,2025-09-02T14:00Z
B097,C147,KOMAUSDT,calm,2026-02-03T03:00Z
B098,C078,FARTCOINUSDT,large,2026-04-08T23:00Z
B099,C086,FARTCOINUSDT,large,2026-06-04T19:00Z
